;STC;SLD;INC;A-FCP;A-DCP-HELL;A-DCP-HELL2;A-DCP-BBD -1;A-DCP-BBD2;A-DCP-BBD3;A-DCP-BBD10
1CSurr;64.1146000;89.2932000;64.0784000;95.5702000;87.5061000;86.2149000;86.1120000;85.8479000;85.8453990;86.0092000
5CVT;45.7800000;34.2755990;45.2181999;41.1188000;39.2629990;24.2634000;24.3598999;29.7761990;52.5397990;47.6449000
4CE1CF;98.4405990;88.2405000;98.7893000;98.1481000;97.9780000;97.6262900;97.9800000;97.9006990;97.9006999;97.9006999
4CR;21.1730000;99.9751000;21.1160000;99.9822000;99.9837000;99.9867000;99.9851000;99.9822000;99.9836000;99.9843000
4CRE-V1;23.0632999;22.1530990;22.1688000;24.2150000;23.6826990;22.8297990;27.1750999;15.9124000;18.8379000;21.0454999
4CRE-V2;20.4384000;17.0329000;20.1195000;16.0565000;21.9060000;18.2203999;28.2639000;18.5547000;25.0668000;19.5131000
1CDT;99.3143000;99.7499000;99.5778000;99.9802000;99.9275000;99.9604000;99.9538000;99.9604000;99.9472000;99.9472000
1CHT;95.5914999;99.4733000;96.6446000;99.6708900;99.4407999;99.6510999;99.5919990;99.6511990;99.5657000;99.5985999
CHECKERBOARD;49.0241999;49.1624000;49.0031000;49.6599000;50.2665000;50.0287990;50.1579000;50.0291000;50.2512000;50.2823990
FG-2C-2D;81.5459000;91.0474000;82.1728000;94.9649000;82.7307000;78.4230000;80.8096000;82.5239000;61.0729000;80.2278000
MG-2C-2D;47.8513000;68.5675000;48.8358000;68.9932000;70.7271000;89.5090000;87.4089990;72.5634999;71.1329000;71.4801000
UG-2C-2D;43.9714000;94.8176000;45.3949000;66.4702000;95.5431999;95.7036999;95.5891000;95.5697000;95.6192000;95.6510000
2CDT;57.8625000;56.0250000;56.8500000;79.8875000;35.5375000;50.0250000;78.8125000;91.0875000;91.0625000;89.6250000
2CHT;54.0786000;50.4075000;53.3417990;73.9603000;45.4147999;62.7831000;51.7956000;85.6319999;57.1973999;61.6251999
GEARS-2C-2D;94.8182000;97.2690000;94.9164000;97.5889000;96.3111000;96.5462000;96.3118990;96.6395000;96.5513000;96.4853000
UG-2C-3D;54.8637000;63.2262000;56.4218000;92.2718999;90.8409000;92.5100000;93.7923000;93.6774999;94.4562000;91.6121000
UG-2C-5D;69.0942000;68.8254000;61.1132000;72.8202000;73.0437000;91.3065000;91.1502990;91.0402990;91.0403000;91.0402990
Electricity;71.4097990;59.2219000;71.1570999;59.2296000;59.1912999;59.2183000;59.0458000;59.0956000;59.3138000;44.0460000
Keyboard;63.8162500;84.6037499;87.5650000;74.8025000;88.0912500;88.0925000;87.8950000;87.8950000;87.8950000;87.8950000
NOAA;73.5808000;68.9342000;71.9760000;60.7248000;68.6096000;68.6096000;58.6720000;59.0140000;58.9502000;59.4256000
