;STC;INC;SLD;A-FCP;A-DCP-HELL;"A-DCP-HELL2;";A-DCP-BBD -1
1CDT;0.3966;4.3911;0.4113;0.5758;0.5899;0.7855;0.6836
2CDT;0.2257;3.2604;0.2659;0.3395;0.3939;0.3757;0.3628
1CHT;0.4054;4.4377;0.3697;0.7119;0.9295;0.7517;0.822
2CHT;0.3499;5.2872;0.3337;0.4813;0.537;0.4914;0.4738
4CR;2.4313;50.1867;1.3259;12.1104;12.5332;11.6566;11.0495
4CRE-V1;1.6577;38.2838;1.2665;7.9768;8.008;8.1207;8.0606
4CRE-V2;3.0361;106.6322;2.4653;17.1745;16.9485;16.7875;17.2545
5CVT;0.4744;9.0549;0.374;0.7474;0.7663;0.803;0.7628
1CSurr;1.0681;14.02545;0.6731;2.0377;2.148;2.084;2.0212
4CE1CF;2.3447;66.4219;1.6695;13.9676;14.3977;14.0853;14.1884
UG-2C-2D;1.4147;28.1976;1.158;5.5402;5.7184;5.7671;5.7755
MG-2C-2D;3.2273;73.6734;2.2617;19.3438;19.4304;19.4904;19.6801
FG-2C-2D;3.4471;90.3127;2.6065;19.2192;18.1979;18.1354;17.9826
UG-2C-3D;5.4724;100.6317;2.7091;24.8583;24.1543;24.4733;25.5654
UG-2C-5D;11.6248;459.6997;5.5885;25.6978;25.9266;24.9943;24.4417
GEARS-2C-2D;3.455;92.8112;2.7417;23.3107;23.6361;23.0235;23.4529
CHECKER.;2.8384;65.1466;2.0089;24.2056;26.9032;31.5635;35.2531
NOAA;0.4438;16.7933;0.3245;0.8894;0.8539;0.9254;0.8681
Electricity;0.8869;40.6391;0.6603;1.9278;2.0959;2.0142;2.0299
Keyboard;0.0273;0.0983;0.037;0.08;0.0881;0.0816;0.0764
