;Estático;Incremental;Janela Deslizante;AMANDA-FCP;AMANDA-DCP-Hellinger;AMANDA-DCP-Hellinger2;AMANDA-DCP-BBD -1
1CDT;0.993;0.9955;0.9979;0.9997;0.999;0.9996;0.9996
2CDT;0.5617;0.5477;0.4229;0.754;0.3463;0.3331;0.7417
1CHT;0.9557;0.9667;0.9942;0.9964;0.9938;0.996;0.9956
2CHT;0.3956;0.3843;0.3379;0.6831;0.4319;0.5184;0.3575
4CR;0.2088;0.2094;0.9998;0.9998;0.9998;0.9998;0.9998
4CRE-V1;0.2142;0.2053;0.107;0.2398;0.1929;0.21;0.2637
4CRE-V2;0.2038;0.1999;0.1255;0.169;0.2029;0.1677;0.2487
5CVT;0.3553;0.3439;0.1143;0.3495;0.1871;0.1781;0.1656
1CSurr;0.4669;0.4658;0.8846;0.9587;0.8752;0.8748;0.8613
4CE1CF;0.9838;0.9882;0.8853;0.9803;0.9787;0.9738;0.9785
UG-2C-2D;0.4392;0.4563;0.9497;0.6614;0.9571;0.9589;0.9565
MG-2C-2D;0.4746;0.4882;0.5971;0.6096;0.7055;0.8976;0.8763
FG-2C-2D;0.7267;0.7305;0.8919;0.931;0.804;0.7631;0.779
UG-2C-3D;0.4943;0.4841;0.5176;0.9239;0.9098;0.9284;0.9396
UG-2C-5D;0.6695;0.5072;0.5974;0.6489;0.6568;0.9129;0.91
GEARS-2C-2D;0.9514;0.9521;0.9755;0.9801;0.9637;0.9715;0.9651
CHECKER.;0.4867;0.4903;0.4688;0.4852;0.5051;0.5028;0.5028
NOAA;0.5052;0.4147;0.3988;0.4518;0.3915;0.3915;0.4212
Electricity;0.5838;0.5819;0.4292;0.4311;0.5846;0.5795;0.5837
Keyboard;0.6998;0.9187;0.801;0.826;0.9354;0.9354;0.9354
